                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                                 Variable                                                   Percent
            S568B      During last week frequency: told stories to child                                           4.65 
            S568C      During last week frequency: sang children's songs along                                     4.65 
            S568D      During last week frequency: went out for walks                                              4.65 
            S568E      During last week frequency: play with child                                                 4.65 
            S569A      Person participated in activity: read stories or look at books with images                 67.28 
            S569B      Person participated in activity: told stories to child                                     70.34 
            S569C      Person participated in activity: sang children's songs along                               31.74 
            S569D      Person participated in activity: went out for walks                                        26.48 
            S569E      Person participated in activity: play with child                                           18.59 
            S570A      During last week got access to children books from: household                              20.69 
            S570B      During last week got access to  children books from: library                               20.69 
            S570C      During last week got access to  children books from: ludoteca                              20.69 
            S570D      During last week got access to  children books from: community center                      20.69 
            S570X      During last week got access to children books from: other                                  20.69 
            S571       During last week somebody spent time with child in physical activities                      4.65 
            S572A      At home child play with: household utensils (plates, cups, pots, etc)                       4.65 
            S572B      At home child play with: rustic materials (rocks, planks, shells, animals,etc)              4.65 
            S572C      At home child play with: toys made at home                                                  4.65 
            S572D      At home child play with: toys bought                                                        4.65 
            S572X      At home child play with: other                                                              4.65 
            S572Y      At home child play with: don't play                                                         4.65 
            S573       During last week times child was left to the care of children less than 10 years old        4.65 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                   Variable                                                                              Percent
                     Name      Variable Label                                                            Missing

                    S574       During last week times child was left alone                                 4.65 
                    S600A      Pres. children < 10 (nupciality & sexual behavior)                          0.00 
                    S600B      Pres. husband (nupciality & sexual behavior)                                0.00 
                    S600C      Pres. other males (nupciality & sexual behavior)                            0.00 
                    S600D      Pres. other females (nupciality & sexual behavior)                          0.00 
                    S606       Married once or more than once                                              9.53 
                    S607       Reason for divorce/separation                                              69.40 
                    S613       Has ever had sexual approaches or intercourse with other women              1.49 
                    S616A      Participated in sexual education training at: school                       60.45 
                    S616B      Participated in sexual education training at: secondary school             60.45 
                    S616C      Participated in sexual education training at: university                   60.45 
                    S616D      Participated in sexual education training at: hospital/health post/IPS     60.45 
                    S616E      Participated in sexual education training at: church                       60.45 
                    S616F      Participated in sexual education training at: PROFAMILIA                   60.45 
                    S616X      Participated in sexual education training at: other                        60.45 
                    S617A      Participated in: courses exclusively on sexuality                          60.45 
                    S617B      Participated in: conferences                                               60.45 
                    S617C      Participated in: sexuality fairs                                           60.45 
                    S617D      Participated in: workshops                                                 60.45 
                    S617E      Participated in: video conferences                                         60.45 
                    S617X      Participated in: other                                                     60.45 
                    S618A      Person leaded the activity: sexual education teacher                       60.45 
                    S618B      Person leaded the activity: religion teacher                               60.45 
                    S618C      Person leaded the activity: biology/anatomy teacher                        60.45 
                    S618D      Person leaded the activity: ethics teacher                                 60.45 
                    S618E      Person leaded the activity: teacher others                                 60.45 
                    S618F      Person leaded the activity: PROFAMILIA instructor                          60.45 
                    S618G      Person leaded the activity: hospital/health center instructor              60.45 
                    S618H      Person leaded the activity: nurse/doctor from school                       60.45 
                    S618I      Person leaded the activity: other paramedic                                60.45 
                    S618J      Person leaded the activity: priest                                         60.45 
                    S618K      Person leaded the activity: Psychologist                                   60.45 
                    S618X      Person leaded the activity: other                                          60.45 
                    S620A      Person talked about sexuality: father                                      60.45 
                    S620B      Person talked about sexuality: mother                                      60.45 
                    S620C      Person talked about sexuality: male friend                                 60.45 
                    S620D      Person talked about sexuality: female friend                               60.45 
                    S620E      Person talked about sexuality: boyfriend                                   60.45 
                    S620F      Person talked about sexuality: teacher                                     60.45 
                    S620G      Person talked about sexuality: priest                                      60.45 
                    S620H      Person talked about sexuality: doctor                                      60.45 
                    S620I      Person talked about sexuality: relative                                    60.45 
                    S620X      Person talked about sexuality: other                                       60.45 
                    S622A      Received information about sexuality from: workshops                       60.45 
                    S622B      Received information about sexuality from: radio                           60.45 
                    S622C      Received information about sexuality from: newspapers                      60.45 
                    S622D      Received information about sexuality from: TV                              60.45 
                    S622E      Received information about sexuality from: magazines/books                 60.45 
                    S622F      Received information about sexuality from: internet                        60.45 
                    S623A      Received information/quality on: couple's sexual negotiation               71.14 
                    S623B      Received information/quality on: decision making                           71.14 
                    S623C      Received information/quality on: life planning                             71.14 
                    S623D      Received information/quality on: leadership                                71.14 
                    S623E      Received information/quality on: selfsteem                                 71.14 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                       Variable                                                                       Percent
                         Name      Variable Label                                                     Missing

                        S623F      Received information/quality on: gender                             71.14 
                        S623G      Received information/quality on: gender inequality                  71.14 
                        S623H      Received information/quality on: anatomy of sexual organs           71.14 
                        S623I      Received information/quality on: pregnancy and delivery             71.14 
                        S623J      Received information/quality on: contraception                      71.14 
                        S623K      Received information/quality on: kindness and communication         71.14 
                        S623L      Received information/quality on: violence and sexual abuse          71.14 
                        S623M      Received information/quality on: abortion                           71.14 
                        S623N      Received information/quality on: STIs and AIDS                      71.14 
                        S623O      Received information/quality on: sexual and reproduction rights     71.14 
                        S623P      Received information/quality on: life as a couple                   71.14 
                        S623Q      Received information/quality on: homosexuality                      71.14 
                        S625       Information received has been useful                                71.14 
                        S626       Age when first received information on sexuality                    71.14 
                        S627       Have you experienced the need for more information on sexuality     60.45 
                        S628       Approve/disapprove rights of same sex couples                        0.00 
                        S629       What would do if found that one of your children is homosexual       0.00 
                        S643A      Reason last sexual partner didn't use condom                        17.05 
                        S643B      Reason next to last sexual partner didn't use condom                98.16 
                        S643C      Reason second to last sexual partner didn't use condom              99.85 
                        S658A      Abortion is legal when: pregnancy risks the woman's life             0.00 
                        S658B      Abortion is legal when: woman was raped                              0.00 
                        S658C      Abortion is legal when: fetus malformation                           0.00 
                        S659       Abortion should be legal in other cases                             27.02 
                        S660       When abortion should be allowed                                     94.66 
                        S661       Ever requested a voluntary pregnancy interruption                    0.00 
                        S662       Reason requested voluntary interruption                             99.90 
                        S663       Voluntary pregnancy interruption paid by health insurance           99.90 
                        S665       Main problem to obtain abortion                                     99.90 
                        S707A      Reason not using: service of bad quality                            80.25 
                        S707B      Reason not using: did go but service not provided                   80.25 
                        S707C      Reason not using: don't trust doctors                               80.25 
                        S707D      Reason not using: too much paper work                               80.25 
                        S707E      Reason not using: don't know where service is provided              80.25 
                        S707F      Reason not using: inconvenient service time                         80.25 
                        S707G      Reason not using: takes too long to get appointment                 80.25 
                        S707H      Reason not using: takes too long to get service once in place       80.25 
                        S707I      Reason not using: didn't know that could use service                80.25 
                        S708       Has ever wanted unsuccessfully a child                              75.00 
                        S709       How long have been waiting for a pregnancy                          99.35 
                        S710       Has ever sought fertility help to get pregnant                      99.35 
                        S711       Reason given for not getting pregnant                               99.77 
                        S712       Respondent/partner receiving fertility treatment                    99.77 
                        S713       Main reason not seeking fertility treatment                         99.58 
                        S722       Respondent approves couples using contraception                      0.01 
                        S723A      Heard FP at health insurance last 12 months                          0.01 
                        S728       Partner approves couples using contraception                        88.96 
                        S804G      Husband grade of school completed                                   13.36 
                        S804N      Husband level of education completed                                13.36 
                        S809       Has respondent ever worked                                          60.08 
                        S817       Respondent salary average used for household consumption            42.53 
                        S818       Ever requested pregnancy test when applied for a job                15.57 
                        S819       Ever requested sterilization certificate when applied for a job     15.57 
                        S820       Ever requested AIDS test when applied for a job                     15.57 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                             Variable                                                          Percent
                               Name      Variable Label                                        Missing

                             S821        Ever been fired from a job when pregnant               15.57 
                             S822F       Final say on studying                                   0.00 
                             S822G       Final say on having sex                                 0.00 
                             S826        Who cares for child when respondent is out of home      2.78 
                             S827        Places has lived since November 2004                    0.00 
                             S828M       Month moved to current residence                       74.28 
                             S828Y       Year moved to current residence                        74.28 
                             S829        Place lived before moving to current place             74.28 
                             S830        Area of residence of place before                      74.28 
                             S831        Reason changed place of residence                      74.28 
                             S832        Number of family members that came with respondent     74.28 
                             S833A       Respondent came with: partner                          78.94 
                             S833B       Respondent came with: sons/daughters                   78.94 
                             S833C       Respondent came with: parents-in-laws/parents          78.94 
                             S833D       Respondent came with: brothers/sisters                 78.94 
                             S833X       Respondent came with: other                            78.94 
                             SAREA       Area                                                    0.00 
                             SAREAM      Sampling area                                           0.00 
                             SDEPTO      Department                                              0.00 
                             SESTRDI     Sample design strata                                    0.00 
                             SFH1        Received antihemophilus H1                              1.76 
                             SFH1D       Antihemophilus H1 day                                  28.46 
                             SFH1M       Antihemophilus H1 month                                28.46 
                             SFH1Y       Antihemophilus H1 year                                 28.46 
                             SFH2        Received antihemophilus H2                              1.76 
                             SFH2D       Antihemophilus H2 day                                  32.03 
                             SFH2M       Antihemophilus H2 month                                32.03 
                             SFH2Y       Antihemophilus H2 year                                 32.03 
                             SFH3        Received antihemophilus H3                              1.76 
                             SFH3D       Antihemophilus H3 day                                  36.64 
                             SFH3M       Antihemophilus H3 month                                36.64 
                             SFH3Y       Antihemophilus H3 year                                 36.64 
                             SMUNIP      Municipality                                            0.00 
                             SPB0        Received antihepatitis B0                               1.76 
                             SPB0D       Antihepatitis B0 day                                   37.84 
                             SPB0M       Antihepatitis B0 month                                 37.84 
                             SPB0Y       Antihepatitis B0 year                                  37.84 
                             SPB1        Received antihepatitis B1                               1.76 
                             SPB1D       Antihepatitis B1 day                                   27.70 
                             SPB1M       Antihepatitis B1 month                                 27.70 
                             SPB1Y       Antihepatitis B1 year                                  27.70 
                             SPB2        Received antihepatitis B2                               1.76 
                             SPB2D       Antihepatitis B2 day                                   31.26 
                             SPB2M       Antihepatitis B2 month                                 31.26 
                             SPB2Y       Antihepatitis B2 year                                  31.26 
                             SPB3        Received antihepatitis B3                               1.76 
                             SPB3D       Antihepatitis B3 day                                   35.79 
                             SPB3M       Antihepatitis B3 month                                 35.79 
                             SPB3Y       Antihepatitis B3 year                                  35.79 
                             SPV1        Received pentavalent 1                                  1.76 
                             SPV1D       Pentavalent 1 day                                      37.09 
                             SPV1M       Pentavalent 1 month                                    37.09 
                             SPV1Y       Pentavalent 1 year                                     37.09 
                             SPV2        Received pentavalent 2                                  1.76 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                                   Variable                                              Percent
                                     Name      Variable Label                            Missing

                                   SPV2D       Pentavalent 2 day                          40.31 
                                   SPV2M       Pentavalent 2 month                        40.31 
                                   SPV2Y       Pentavalent 2 year                         40.31 
                                   SPV3        Received pentavalent 3                      1.76 
                                   SPV3D       Pentavalent 3 day                          44.50 
                                   SPV3M       Pentavalent 3 month                        44.50 
                                   SPV3Y       Pentavalent 3 year                         44.50 
                                   SSUBREG     Subregions                                  0.00 
                                   V000        Country code and phase                      0.00 
                                   V001        Cluster number                              0.00 
                                   V002        Household number                            0.00 
                                   V003        Respondent's line number                    0.00 
                                   V004        Ultimate area unit                          0.00 
                                   V005        Sample weight                               0.00 
                                   V006        Month of interview                          0.00 
                                   V007        Year of interview                           0.00 
                                   V008        Date of interview (CMC)                     0.00 
                                   V009        Respondent's month of birth                 0.00 
                                   V010        Respondent's year of birth                  0.00 
                                   V011        Date of birth (CMC)                         0.00 
                                   V012        Current age - respondent                    0.00 
                                   V013        Age 5-year groups                           0.00 
                                   V014        Completeness of information                 0.00 
                                   V015        Result of individual interview              0.00 
                                   V016        Day of interview                            0.00 
                                   V017        CMC start of calendar                       0.00 
                                   V018        Row of month of interview                   0.00 
                                   V019        Length of calendar                          0.00 
                                   V019A       Number of calendar columns                  0.00 
                                   V020        Ever-married sample                         0.00 
                                   V021        Primary sampling unit                       0.00 
                                   V022        Sample stratum number                       0.00 
                                   V023        Sample domain                               0.00 
                                   V024        Region                                      0.00 
                                   V025        Type of place of residence                  0.00 
                                   V027        Number of visits                            0.00 
                                   V028        Interviewer identification                  0.00 
                                   V030        Field supervisor                            0.00 
                                   V034        Line number of husband                     24.64 
                                   V040        Cluster altitude in meters                  0.00 
                                   V044        Selection for domestic violence module      0.00 
                                   V101        Region                                      0.00 
                                   V102        Type of place of residence                  0.00 
                                   V104        Years lived in place of res.                0.00 
                                   V106        Highest educational level                   0.00 
                                   V107        Highest year of education                   3.08 
                                   V113        Source of drinking water                    0.00 
                                   V115        Time to get to water source                 0.00 
                                   V116        Type of toilet facility                     0.00 
                                   V119        Has electricity                             0.00 
                                   V120        Has radio                                   0.00 
                                   V121        Has television                              0.00 
                                   V122        Has refrigerator                            0.00 
                                   V123        Has bicycle                                 0.00 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                                   Variable                                              Percent
                                     Name      Variable Label                            Missing

                                     V124      Has motorcycle/scooter                      0.00 
                                     V125      Has car/truck                               0.00 
                                     V127      Main floor material                         0.00 
                                     V128      Main wall material                          0.00 
                                     V131      Ethnicity                                   0.00 
                                     V133      Education in single years                   0.00 
                                     V135      Usual resident or visitor                   0.00 
                                     V136      Number of household members                 0.00 
                                     V137      Number of children 5 and under              0.00 
                                     V138      Number of eligible women in HH              0.00 
                                     V139      De jure region of residence                 0.00 
                                     V140      De jure type of place of res.               0.00 
                                     V149      Educational attainment                      0.00 
                                     V150      Relationship to household head              0.00 
                                     V151      Sex of household head                       0.00 
                                     V152      Age of household head                       0.00 
                                     V153      Has a landline telephone                    0.00 
                                     V160      Toilet facilities shared                   12.91 
                                     V161      Type of cooking fuel                        0.00 
                                     V190      Wealth index                                0.00 
                                     V191      Wealth index factor score (5 decimals)      0.00 
                                     V201      Total children ever born                    0.00 
                                     V202      Sons at home                                0.00 
                                     V203      Daughters at home                           0.00 
                                     V204      Sons elsewhere                              0.00 
                                     V205      Daughters elsewhere                         0.00 
                                     V206      Sons who have died                          0.00 
                                     V207      Daughters who have died                     0.00 
                                     V208      Births in last five years                   0.00 
                                     V209      Births in past year                         0.00 
                                     V210      Births in month of interview                0.00 
                                     V211      Date of first birth (CMC)                   0.00 
                                     V212      Age of respondent at 1st birth              0.00 
                                     V213      Currently pregnant                          0.00 
                                     V214      Duration of current pregnancy              94.52 
                                     V215      Time since last menstrual perd              0.02 
                                     V216      Menstruated in last six weeks               0.00 
                                     V217      Knowledge of ovulatory cycle                0.02 
                                     V218      Number of living children                   0.00 
                                     V219      Living children + current preg              0.00 
                                     V220      Living children + curr preg 6+              0.00 
                                     V221      Marriage to first birth int.                9.53 
                                     V222      Last birth to interview                     0.00 
                                     V223      Completeness of curr preg. inf             94.52 
                                     V224      Entries in birth history                    0.00 
                                     V225      Current pregnancy wanted                   94.52 
                                     V226      Time since last period (comp)               0.02 
                                     V227      Flag for last period                        0.00 
                                     V228      Ever had a terminated preg.                 0.00 
                                     V229      Month pregnancy ended                      77.88 
                                     V230      Year pregnancy ended                       77.88 
                                     V231      CMC pregnancy ended                        77.88 
                                     V232      Completeness of last term. inf             77.88 
                                     V233      Months when pregnancy ended                88.11 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                           Variable                                                               Percent
                             Name      Variable Label                                             Missing

                            V234       Other such pregnancies                                      88.11 
                            V235       Index last child prior to cal.                               0.00 
                            V237       Birth between last & interview                               0.00 
                            V238       Births in last three years                                   0.00 
                            V239       Pregnancies terminated before calendar beginning            94.28 
                            V240       Month of last termination prior to calendar                 94.91 
                            V241       Year of last termination prior to calendar                  94.91 
                            V242       CMC termination ended prior to calendar                     94.91 
                            V243       Completeness of last termination date prior to calendar     94.91 
                            V310       Living children at first use                                 5.16 
                            V311       Children at first use (grpd)                                 0.01 
                            V312       Current contraceptive method                                 0.00 
                            V313       Current use by method type                                   0.00 
                            V315       Month of start of use of method                             27.92 
                            V316       Year of start of use of method                              27.92 
                            V317       Date of start of use of method (CMC)                        27.92 
                            V318       Completeness of information                                 27.92 
                            V319       Years since sterilization                                   76.02 
                            V320       Age at sterilization                                        76.02 
                            V321       Marital duration at sterilization                           76.02 
                            V322       Parity at sterilization                                     76.02 
                            V323       Brand of pill used                                          92.25 
                            V323A      Brand of condom used                                        92.66 
                            V326       Last source for current users                               33.94 
                            V327       Last source for users by type                               33.94 
                            V337       Months of use of current method                             27.92 
                            V359       Last method disc. last 5 years                              30.60 
                            V360       Reason of last discontinuation                              30.60 
                            V361       Pattern of use                                               0.00 
                            V362       Intention to use                                            72.08 
                            V363       Preferred future method                                     75.01 
                            V364       Contraceptive use & intention                                0.00 
                            V367       Wanted last child                                            0.00 
                            V375A      Main reason not using a method                              72.08 
                            V376       Main reason not to use a meth.                              98.01 
                            V376A      Would ever use method if marr.                              99.88 
                            V384A      Heard FP on radio last 12 months                             0.01 
                            V384B      Heard FP on TV last 12 months                                0.01 
                            V384C      Heard FP newspaper last 12 months                            0.01 
                            V393       Visited by FP worker last 12m                                0.00 
                            V394       Visited health facil. last 12m                               0.00 
                            V395       At health facility, told of FP                              26.12 
                            V3A00A     Source of FP for non-users:  government hosp.               72.21 
                            V3A00K     Source of FP for non-users:  private pharmacy               72.21 
                            V3A00L     Source of FP for non-users:  private doctor                 72.21 
                            V3A00O     Source of FP for non-users:  PROFAMILIA                     72.21 
                            V3A00S     Source of FP for non-users:  shop                           72.21 
                            V3A00X     Source of FP for non-users:  Other                          72.21 
                            V3A00Y     Source of FP for non-users:  no source                      72.21 
                            V3A00Z     Source of FP for non-users:  any source                     72.21 
                            V3A01      Told sterilization would mean no more children              76.02 
                            V3A02      Told about side effects                                     42.65 
                            V3A04      Told how to deal with side effects                          70.47 
                            V3A05      Told about other FP methods                                 42.65 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2010 (cokr61fl)'

                       Variable                                                                       Percent
                         Name      Variable Label                                                     Missing

                        V3A07      First source for current method                                     33.45 
                        V3A08A     Reason not using: Not married                                       80.25 
                        V3A08B     Reason not using: Not having sex                                    80.25 
                        V3A08C     Reason not using: Infrequent sex                                    80.25 
                        V3A08D     Reason not using: Menopausal/hysterectomy                           80.25 
                        V3A08E     Reason not using: Subfecund/infecund                                80.25 
                        V3A08F     Reason not using: Postpartum amenorrheic                            80.25 
                        V3A08G     Reason not using: Breastfeeding                                     80.25 
                        V3A08H     Reason not using: Fatalistic                                        80.25 
                        V3A08I     Reason not using: Respondent opposed                                80.25 
                        V3A08J     Reason not using: Husband/partner opposed                           80.25 
                        V3A08K     Reason not using: Others opposed                                    80.25 
                        V3A08L     Reason not using: Religious prohibition                             80.25 
                        V3A08M     Reason not using: Knows no method                                   80.25 
                        V3A08N     Reason not using: Knows no source                                   80.25 
                        V3A08O     Reason not using: Health concerns                                   80.25 
                        V3A08P     Reason not using: Fear of side effects                              80.25 
                        V3A08Q     Reason not using: Lack of access/too far                            80.25 
                        V3A08R     Reason not using: Costs too much                                    80.25 
                        V3A08S     Reason not using: Inconvenient to use                               80.25 
                        V3A08T     Reason not using: Interferes with body processes                    80.25 
                        V3A08U     Reason not using: Man subfecund/infecund                            80.25 
                        V3A08V     Reason not using: Don't have time                                   80.25 
                        V3A08W     Reason not using: Transportation too expensive                      80.25 
                        V3A08X     Reason not using: Other                                             80.25 
                        V3A08Z     Reason not using: Don't know                                        80.25 
                        V401       Last birth caesarean section                                         0.00 
                        V404       Currently breastfeeding                                              0.00 
                        V405       Currently amenorrheic                                                0.00 
                        V406       Currently abstaining                                                 0.00 
                        V407       Times breastfed during night                                        61.03 
                        V408       Times breastfed during day                                          61.03 
                        V409       Gave child plain water                                              35.51 
                        V410       Gave child juice                                                    35.51 
                        V411       Gave child tinned/powder or fresh milk                              35.51 
                        V411A      Gave child baby formula                                             35.51 
                        V412A      Gave child baby cereal (bienestarina)                               35.51 
                        V412B      Gave child other porridge/gruel (infant cereals)                    35.51 
                        V413       Gave child other liquid                                             35.51 
                        V413A      Gave child chocolate/aguapanela (sugar cane paste)                  35.51 
                        V413B      Gave child porridge made from mix of vegetables                     35.51 
                        V414A      Gave child white meat (chicken, pork, rabbit)                       35.51 
                        V414B      Gave child processed meats (sausage, chorizo, salami, jam, etc)     35.51 
                        V414C      Gave child other vegetables                                         35.51 
                        V414D      Gave child CS foods                                                 35.51 
                        V414E      Gave child bread, noddles, other made from grains                   35.51 
                        V414F      Gave child potatoes, cassava, or other tubers                       35.51 
                        V414G      Gave child eggs                                                     35.51 
                        V414H      Gave child meat (beef, pork, lamb, chicken, etc)                    35.51 
                        V414I      Gave child pumpkin, carrots, squash (yellow or orange inside)       35.51 
                        V414J      Gave child any dark green leafy vegetables                          35.51 
                        V414K      Gave child mangoes, papayas, other vitamin A fruits                 35.51 
                        V414L      Gave child any other fruits                                         35.51 
                        V414M      Gave child liver, heart, other organs                               35.51 
